edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
42,0,0,5,4,2,13000
27,0,0,1,3,2,12000
35,0,0,5,5,2,16000
38,0,0,1,2,2,4000
58,0,0,5,5,2,12000
54,0,0,5,4,2,25000
65,0,0,5,6,2,12000
33,0,0,1,3,3,18000
62,0,0,1,1,2,6000
52,1,0,5,6,2,3600
52,1,0,5,6,2,20000
48,0,0,5,4,2,8000
56,0,0,1,4,2,25000
52,0,0,3,2,2,4000
18,0,0,1,3,2,9600
42,0,0,5,6,3,20000
21,1,0,5,5,2,1600
23,1,0,5,3,2,5000
37,1,0,1,5,2,500
62,0,0,5,6,3,70000
54,1,0,5,4,2,15000
36,1,0,5,6,2,5000
56,0,0,5,2,2,15000
36,0,0,1,5,2,8000
70,0,0,5,1,2,6000
62,0,0,5,4,2,18000
38,0,0,1,2,2,8000
38,0,0,1,4,2,3000
40,0,0,3,6,2,70000
48,0,0,1,4,2,4000
38,0,0,3,6,2,40000
40,1,0,5,5,0,12000
24,0,0,3,4,2,16000
59,0,0,5,6,2,40000
46,1,0,5,6,3,12000
65,1,0,5,6,2,400
46,0,0,1,3,2,25000
53,0,0,5,6,3,25000
38,0,0,5,3,2,40000
65,0,0,1,2,2,10000
25,0,0,1,4,2,8000
41,0,0,1,4,2,4000
61,0,0,1,2,2,12000
48,0,0,5,6,2,12000
21,1,0,1,5,3,4500
42,1,0,1,4,2,2500
61,1,0,5,2,1,2000
66,1,0,5,6,2,2000
48,1,0,5,5,2,10000
36,0,0,1,2,2,10000
54,0,0,5,6,2,15000
74,0,0,5,0,2,5000
49,1,0,5,6,2,30000
64,1,0,5,2,2,2000
38,0,0,1,4,2,10000
37,0,0,5,4,2,5000
44,1,0,5,4,3,40000
37,0,0,5,2,2,30000
37,0,0,5,4,3,25000
38,1,0,1,5,2,10000
51,1,0,5,6,2,25000
39,0,0,5,3,2,17000
61,0,0,3,2,2,10000
42,1,0,5,5,2,5000
35,0,0,1,3,2,8000
31,1,0,5,6,2,20000
22,0,0,1,3,2,4000
38,0,0,3,6,3,100000
48,1,0,5,5,2,15000
33,0,0,1,3,2,6000
54,1,0,5,4,2,3000
23,1,0,5,5,2,700
30,1,0,5,4,2,6000
77,0,0,5,1,2,5000
42,1,0,5,6,2,18000
46,0,0,1,2,2,28000
40,0,0,5,4,2,8000
35,0,0,5,5,2,20000
41,0,0,1,4,2,8000
62,0,0,3,6,2,8000
48,0,0,3,4,3,35000
49,0,0,5,4,2,6000
66,0,0,5,4,2,30000
48,1,0,5,4,2,5000
64,0,0,5,6,3,30000
64,1,0,5,2,2,7000
40,0,0,5,3,3,40000
25,0,0,1,3,2,30000
43,0,0,5,3,2,15000
75,0,0,5,1,2,2000
52,0,0,1,2,2,16000
31,0,0,1,3,2,15000
58,0,0,5,4,2,9000
30,0,0,1,3,2,16000
45,0,0,1,4,2,10000
23,0,0,1,4,2,6000
23,0,0,1,5,2,500
61,1,0,5,3,2,7500
77,0,0,5,3,2,20000
42,0,0,1,2,2,2500
69,0,0,5,2,2,3000
30,0,0,1,2,2,8000
40,0,0,5,2,2,5000
33,0,0,5,5,2,16500
64,0,0,5,6,2,35000
45,0,0,1,2,2,7000
55,1,0,1,3,2,3000
65,0,0,5,2,2,2000
22,0,0,1,3,2,5000
59,0,0,1,5,2,15000
44,0,0,5,3,2,16000
65,1,0,5,4,2,2000
54,1,0,1,3,2,11200
48,1,0,1,1,2,500
49,0,0,5,4,2,20000
57,0,0,5,5,2,11000
43,0,0,1,3,2,30000
38,0,0,5,4,2,20000
60,0,0,5,4,2,19000
27,1,0,5,4,2,9000
69,0,0,5,1,2,3000
52,0,0,3,3,2,6000
55,0,0,5,2,2,12000
53,0,0,5,4,3,60000
32,0,0,5,4,2,8000
52,0,0,5,6,2,60000
55,0,0,1,2,2,18000
47,1,0,5,2,2,5000
45,0,0,5,3,2,4000
36,0,0,1,4,2,10000
27,1,0,1,5,2,2800
28,1,0,1,4,2,12800
31,0,0,5,3,2,6000
45,1,0,5,4,2,12000
33,0,0,1,5,2,10000
28,0,0,5,4,2,11000
33,0,0,5,4,3,15000
39,0,0,1,4,2,8000
37,0,0,1,4,2,5000
36,0,0,1,1,2,10000
60,0,0,1,2,2,6000
28,1,0,1,5,2,15000
32,0,0,1,2,2,6000
45,1,0,6,6,2,15000
31,0,0,5,3,2,15000
47,0,0,1,3,2,2000
28,1,0,5,4,2,4000
41,0,0,1,2,2,9000
80,1,0,6,4,2,2500
40,1,0,5,6,2,20000
